"scenario","model","n_successful_fits","n_rejections","rejection_rate","ci_low","ci_high","median_interaction_coef","mean_interaction_coef","sd_interaction_coef","q25_interaction_coef","q75_interaction_coef","q025_interaction_coef","q975_interaction_coef","median_abs_coef_significant","median_abs_coef_nonsignificant","median_change_in_group_difference_response_scale","median_change_in_group_difference_outcome_units","mean_change_in_group_difference_outcome_units","sd_change_in_group_difference_outcome_units","rate_type","change_in_group_difference_units"
"Lower range","Gaussian-probit bounded score",3000,271,0.0903333333333333,0.080592655470891,0.101121814584726,-0.0160496295205065,-0.0174526811462015,0.0575161144783241,-0.0573431091752924,0.0213377284204414,-0.128037205196745,0.0942602777378159,0.120343084120377,0.0361287295184456,-0.0696694993610401,-1.88107648274808,-1.88080169898516,0.783678112492448,"Pseudo-interaction detection rate","sum-score units on the 0-27 scale"
"Lower range","Latent generating scale",3000,136,0.0453333333333333,0.0384525862721971,0.0533769801686993,-0.00172542155340898,-0.000892990815069512,0.0816005662636376,-0.0564806034233757,0.0534479134465502,-0.156574347579669,0.160452898065477,0.184494835605397,0.051934878233553,-0.000127809003956224,-0.00345084310681804,-0.00178598163013903,0.163201132527275,"Nominal rejection rate","latent theta units"
"Lower range","Observed sum-score identity",3000,2189,0.729666666666667,0.713487640725538,0.745258274759962,-0.92510472296362,-0.92218292869094,0.370304286736272,-1.16662374074897,-0.667931486184411,-1.68057336093358,-0.208655618739414,1.05260175960566,0.505020667378732,-0.068526275775083,-1.85020944592724,-1.84436585738188,0.740608573472543,"Pseudo-interaction detection rate","sum-score units on the 0-27 scale"
"Middle range","Gaussian-probit bounded score",3000,108,0.036,0.0299050920888121,0.0432816795282904,-0.00295491363984167,-0.00293937516344612,0.0471932363470252,-0.0347897302719125,0.0291141552905028,-0.0952432740055931,0.0879454817398578,0.114070675017311,0.0307902652743742,-0.0229966107383371,-0.620908489935102,-0.637463901251915,0.913065860740094,"Pseudo-interaction detection rate","sum-score units on the 0-27 scale"
"Middle range","Latent generating scale",3000,138,0.046,0.0390667374136538,0.0540944572289422,0.00193557954526899,0.000820567024818833,0.0819412804462801,-0.0540706260877513,0.0569780612986292,-0.159941450547767,0.159593191982319,0.182864935395537,0.0527681890873029,0.000143376262612518,0.00387115909053798,0.00164113404963766,0.16388256089256,"Nominal rejection rate","latent theta units"
"Middle range","Observed sum-score identity",3000,248,0.0826666666666667,0.0733381400781085,0.0930626056579635,-0.286894193189813,-0.297672323017387,0.413876970565467,-0.574734587596098,-0.0194503139160998,-1.1219768363437,0.488386117363563,1.04557135147489,0.310966436291758,-0.0212514217177639,-0.573788386379626,-0.595344646034773,0.827753941130935,"Pseudo-interaction detection rate","sum-score units on the 0-27 scale"
"Upper range","Gaussian-probit bounded score",3000,140,0.0466666666666667,0.0396813163911365,0.0548115064531591,0.00828338925407606,0.00853769424297032,0.0498668160313749,-0.0241665262679951,0.0420961806583323,-0.0868126358526103,0.105977098508494,0.114271321595245,0.0319309058616198,0.0534476846180426,1.44308748468715,1.44682426751838,0.876485841278405,"Pseudo-interaction detection rate","sum-score units on the 0-27 scale"
"Upper range","Latent generating scale",3000,133,0.0443333333333333,0.0375321814173833,0.0522999427209637,0.000580347380884874,0.000872129975785458,0.0809209131646544,-0.0540654878320899,0.0569388940847062,-0.154885075871065,0.158171558464211,0.183721954298591,0.0528199924131257,4.2988694880358e-05,0.00116069476176967,0.00174425995157092,0.161841826329309,"Nominal rejection rate","latent theta units"
"Upper range","Observed sum-score identity",3000,1108,0.369333333333333,0.352240502115286,0.386760370351599,0.67747589482149,0.684335738104211,0.402426770018872,0.412905140209659,0.963766443897364,-0.10353332980193,1.46137802778485,1.05433817417155,0.489291666456383,0.0501833996164067,1.35495178964298,1.36867147620842,0.804853540037745,"Pseudo-interaction detection rate","sum-score units on the 0-27 scale"
