"scenario","paper_anchor","outcome_family","true_link_function","fitted_link_function","true_model_label","fitted_model_label","quantitative_description","variability_summary","quantity","diagnostic_family","n_successful_fits","n_significant","rate","ci_low","ci_high"
"Chance-floor accuracy","Simulation 1, lower-performance forced-choice scenario","Binomial accuracy","chance-corrected logit","standard logit","chance-corrected binomial logit","standard binomial logit","Simulation 1 lower-performance coefficients: eta = -0.8 + 0.6 * (age - 8) + -0.9 * group; p = 0.5 + (1 - 0.5) * logistic(eta); no age-by-group product term.","Binomial sampling with 20 trials per participant.","AIC same interaction formula favors true link","AIC link comparison",3000,2327,0.775666666666667,0.760392533986923,0.790235727415847
"Chance-floor accuracy","Simulation 1, lower-performance forced-choice scenario","Binomial accuracy","chance-corrected logit","standard logit","chance-corrected binomial logit","standard binomial logit","Simulation 1 lower-performance coefficients: eta = -0.8 + 0.6 * (age - 8) + -0.9 * group; p = 0.5 + (1 - 0.5) * logistic(eta); no age-by-group product term.","Binomial sampling with 20 trials per participant.","AIC same interaction formula favors fitted link","AIC link comparison",3000,673,0.224333333333333,0.209764272584153,0.239607466013077
"Binary repeated trials","Simulation 2, probit-generated logit-fitted case","Binary repeated trials","probit","logit","binomial probit GLMM","binomial logit GLMM","Simulation 2 probit reference coefficients: eta = 1.5 + -1 * group + -1 * condition + subject random intercept; latent ICC = 0.3; no group-by-condition product term.","Subject random intercept with latent ICC = .30 and 15 binary trials per cell.","Pseudo-interaction detection","Interaction test",3000,301,0.100333333333333,0.0900881225298914,0.111600770551219
"Binary repeated trials","Simulation 2, probit-generated logit-fitted case","Binary repeated trials","probit","logit","binomial probit GLMM","binomial logit GLMM","Simulation 2 probit reference coefficients: eta = 1.5 + -1 * group + -1 * condition + subject random intercept; latent ICC = 0.3; no group-by-condition product term.","Subject random intercept with latent ICC = .30 and 15 binary trials per cell.","DHARMa uniformity","DHARMa",3000,92,0.0306666666666667,0.0250720696116265,0.0374616763918795
"Binary repeated trials","Simulation 2, probit-generated logit-fitted case","Binary repeated trials","probit","logit","binomial probit GLMM","binomial logit GLMM","Simulation 2 probit reference coefficients: eta = 1.5 + -1 * group + -1 * condition + subject random intercept; latent ICC = 0.3; no group-by-condition product term.","Subject random intercept with latent ICC = .30 and 15 binary trials per cell.","DHARMa dispersion","DHARMa",3000,0,0,0,0.00127884872532596
"Binary repeated trials","Simulation 2, probit-generated logit-fitted case","Binary repeated trials","probit","logit","binomial probit GLMM","binomial logit GLMM","Simulation 2 probit reference coefficients: eta = 1.5 + -1 * group + -1 * condition + subject random intercept; latent ICC = 0.3; no group-by-condition product term.","Subject random intercept with latent ICC = .30 and 15 binary trials per cell.","DHARMa residual quantiles over fitted values","DHARMa",3000,75,0.025,0.0199913212904314,0.0312235849986283
"Binary repeated trials","Simulation 2, probit-generated logit-fitted case","Binary repeated trials","probit","logit","binomial probit GLMM","binomial logit GLMM","Simulation 2 probit reference coefficients: eta = 1.5 + -1 * group + -1 * condition + subject random intercept; latent ICC = 0.3; no group-by-condition product term.","Subject random intercept with latent ICC = .30 and 15 binary trials per cell.","DHARMa residual quantiles over focal predictor","DHARMa",0,0,NA,NA,NA
"Binary repeated trials","Simulation 2, probit-generated logit-fitted case","Binary repeated trials","probit","logit","binomial probit GLMM","binomial logit GLMM","Simulation 2 probit reference coefficients: eta = 1.5 + -1 * group + -1 * condition + subject random intercept; latent ICC = 0.3; no group-by-condition product term.","Subject random intercept with latent ICC = .30 and 15 binary trials per cell.","DHARMa residual distribution across design cells","DHARMa",3000,13,0.00433333333333333,0.00253421969046081,0.00740021234591233
"Binary repeated trials","Simulation 2, probit-generated logit-fitted case","Binary repeated trials","probit","logit","binomial probit GLMM","binomial logit GLMM","Simulation 2 probit reference coefficients: eta = 1.5 + -1 * group + -1 * condition + subject random intercept; latent ICC = 0.3; no group-by-condition product term.","Subject random intercept with latent ICC = .30 and 15 binary trials per cell.","Pregibon-style added-term link check, secondary","Pregibon-style link check",0,0,NA,NA,NA
"Binary repeated trials","Simulation 2, probit-generated logit-fitted case","Binary repeated trials","probit","logit","binomial probit GLMM","binomial logit GLMM","Simulation 2 probit reference coefficients: eta = 1.5 + -1 * group + -1 * condition + subject random intercept; latent ICC = 0.3; no group-by-condition product term.","Subject random intercept with latent ICC = .30 and 15 binary trials per cell.","AIC same interaction formula favors true link","AIC link comparison",3000,2861,0.953666666666667,0.945546965226286,0.960626026030268
"Binary repeated trials","Simulation 2, probit-generated logit-fitted case","Binary repeated trials","probit","logit","binomial probit GLMM","binomial logit GLMM","Simulation 2 probit reference coefficients: eta = 1.5 + -1 * group + -1 * condition + subject random intercept; latent ICC = 0.3; no group-by-condition product term.","Subject random intercept with latent ICC = .30 and 15 binary trials per cell.","AIC same interaction formula favors fitted link","AIC link comparison",3000,139,0.0463333333333333,0.0393739739697314,0.0544530347737143
"Binary continuous predictor","Matched continuous-predictor counterpart to Simulation 2","Binary repeated trials","probit","logit","binomial probit GLMM","binomial logit GLMM","Matched continuous counterpart to the 2 x 2 binary scenario: eta = 1.5 + -1 * group + -1 * x + subject random intercept; x ~ Uniform(0, 1). Thus the x = 0 to x = 1 contrast has the same probit-scale size as the condition 0 to 1 contrast; latent ICC = 0.3; no group-by-x product term.","Matched to the 2 x 2 binary scenario: same fixed effects, same latent ICC = .30, and 30 binary trials per subject; condition is replaced by x ~ Uniform(0, 1).","Pseudo-interaction detection","Interaction test",3000,201,0.067,0.0585955752618584,0.0765119077342739
