"generating_link","fitted_link","link_match","n_successful_fits","n_rejections","rejection_rate","ci_low","ci_high","median_interaction_coef","median_interaction_se","deterministic_product_on_fitted_link_scale","deterministic_response_scale_difference_in_differences","rate_type"
"logit","logit","Matched link",3000,137,0.0456666666666667,0.0387596078116796,0.0537357727300666,-0.000433745115218425,0.0753175836219234,-1.33226762955019e-15,-0.163519470599184,"Nominal rejection rate"
"logit","probit","Wrong link",3000,504,0.168,0.155048007748594,0.181801147805023,-0.0414115387844156,0.0425241074200292,-0.111562810312494,-0.163519470599184,"Pseudo-interaction detection rate"
"probit","logit","Wrong link",3000,543,0.181,0.167633277370274,0.195182628116484,0.0772399277535124,0.0762169852956553,0.21590490629677,-0.141194585090897,"Pseudo-interaction detection rate"
"probit","probit","Matched link",3000,160,0.0533333333333333,0.0458488747772254,0.0619602300840658,-0.000916023828175385,0.0429082363641087,2.22044604925031e-16,-0.141194585090897,"Nominal rejection rate"
